Date,AQI,PM2_5,PM10,SO2,NO2,CO,O3,sin_day,cos_day,sin_month,cos_month
2017-03-30,49,12,34,14,22,1.07,91,-1.133107779529596e-15,1.0,1.0,6.123233995736766e-17
2017-03-31,51,15,45,15,37,1.05,66,0.2079116908177585,0.9781476007338058,1.0,6.123233995736766e-17
2017-04-01,56,18,56,16,49,1.21,48,0.20791169081775931,0.9781476007338057,0.8660254037844387,-0.4999999999999998
2017-04-02,67,26,78,17,57,1.38,45,0.40673664307580015,0.9135454576426009,0.8660254037844387,-0.4999999999999998
2017-04-03,83,40,109,22,60,1.28,51,0.5877852522924731,0.8090169943749475,0.8660254037844387,-0.4999999999999998
2017-04-04,72,51,49,13,42,1.32,44,0.7431448254773941,0.6691306063588582,0.8660254037844387,-0.4999999999999998
2017-04-05,47,27,49,12,39,1.45,53,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2017-04-06,73,41,81,15,42,1.54,65,0.9510565162951535,0.30901699437494745,0.8660254037844387,-0.4999999999999998
2017-04-07,77,49,92,15,49,1.45,58,0.9945218953682733,0.10452846326765346,0.8660254037844387,-0.4999999999999998
2017-04-08,47,22,35,11,22,1.01,76,0.9945218953682734,-0.10452846326765333,0.8660254037844387,-0.4999999999999998
2017-04-09,24,9,15,11,32,1.27,47,0.9510565162951536,-0.30901699437494734,0.8660254037844387,-0.4999999999999998
2017-04-10,44,23,42,11,36,1.45,56,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
2017-04-11,56,17,63,14,42,1.21,43,0.7431448254773945,-0.6691306063588579,0.8660254037844387,-0.4999999999999998
2017-04-12,57,18,59,12,38,1.0,64,0.5877852522924732,-0.8090169943749473,0.8660254037844387,-0.4999999999999998
2017-04-13,72,21,91,11,41,0.94,64,0.40673664307580004,-0.913545457642601,0.8660254037844387,-0.4999999999999998
2017-04-14,81,27,110,13,51,1.01,48,0.20791169081775931,-0.9781476007338057,0.8660254037844387,-0.4999999999999998
2017-04-15,70,27,90,13,49,1.1,35,5.66553889764798e-16,-1.0,0.8660254037844387,-0.4999999999999998
2017-04-16,130,41,177,13,45,1.14,34,-0.20791169081775907,-0.9781476007338057,0.8660254037844387,-0.4999999999999998
2017-04-17,177,43,262,11,33,0.98,66,-0.4067366430758002,-0.9135454576426009,0.8660254037844387,-0.4999999999999998
2017-04-18,293,87,409,11,37,1.0,61,-0.587785252292473,-0.8090169943749475,0.8660254037844387,-0.4999999999999998
2017-04-19,91,28,130,11,32,0.85,63,-0.743144825477394,-0.6691306063588585,0.8660254037844387,-0.4999999999999998
2017-04-20,106,22,160,10,25,0.8,67,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998
2017-04-21,52,15,45,11,30,0.84,69,-0.9510565162951535,-0.30901699437494756,0.8660254037844387,-0.4999999999999998
2017-04-22,60,25,66,13,45,0.99,56,-0.9945218953682733,-0.10452846326765423,0.8660254037844387,-0.4999999999999998
2017-04-23,69,22,79,13,52,0.99,57,-0.9945218953682734,0.10452846326765299,0.8660254037844387,-0.4999999999999998
2017-04-23,69,22,79,13,52,0.99,57,-0.9945218953682734,0.10452846326765299,0.8660254037844387,-0.4999999999999998
2017-04-24,68,22,82,24,52,0.95,51,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
2017-04-25,66,17,78,14,43,0.92,56,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
2017-04-26,66,23,75,15,51,0.92,54,-0.743144825477394,0.6691306063588585,0.8660254037844387,-0.4999999999999998
2017-04-27,65,19,72,13,52,0.85,56,-0.5877852522924734,0.8090169943749473,0.8660254037844387,-0.4999999999999998
2017-04-28,66,17,72,14,51,0.82,55,-0.40673664307580015,0.913545457642601,0.8660254037844387,-0.4999999999999998
2017-04-29,72,18,83,14,51,0.87,56,-0.20791169081775898,0.9781476007338057,0.8660254037844387,-0.4999999999999998
2017-04-30,81,31,105,13,50,0.97,69,-1.133107779529596e-15,1.0,0.8660254037844387,-0.4999999999999998
2017-05-01,95,66,99,15,54,1.15,80,0.20791169081775931,0.9781476007338057,0.49999999999999994,-0.8660254037844387
2017-05-02,89,63,103,14,48,1.38,63,0.40673664307580015,0.9135454576426009,0.49999999999999994,-0.8660254037844387
2017-05-03,86,35,109,11,28,0.97,85,0.5877852522924731,0.8090169943749475,0.49999999999999994,-0.8660254037844387
2017-05-04,150,50,229,11,36,1.07,54,0.7431448254773941,0.6691306063588582,0.49999999999999994,-0.8660254037844387
2017-05-05,204,118,460,11,27,1.06,84,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387
2017-05-06,124,67,193,12,44,1.19,53,0.9510565162951535,0.30901699437494745,0.49999999999999994,-0.8660254037844387
2017-05-07,87,39,121,12,41,1.12,68,0.9945218953682733,0.10452846326765346,0.49999999999999994,-0.8660254037844387
2017-05-08,71,30,83,12,40,1.11,83,0.9945218953682734,-0.10452846326765333,0.49999999999999994,-0.8660254037844387
2017-05-09,89,41,125,12,46,1.15,55,0.9510565162951536,-0.30901699437494734,0.49999999999999994,-0.8660254037844387
2017-05-10,75,40,92,12,46,0.93,54,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387
2017-05-11,90,44,127,13,51,0.92,47,0.7431448254773945,-0.6691306063588579,0.49999999999999994,-0.8660254037844387
2017-05-12,86,37,114,13,51,0.88,55,0.5877852522924732,-0.8090169943749473,0.49999999999999994,-0.8660254037844387
2017-05-13,75,31,95,14,53,0.98,52,0.40673664307580004,-0.913545457642601,0.49999999999999994,-0.8660254037844387
2017-05-14,74,34,92,13,46,0.96,54,0.20791169081775931,-0.9781476007338057,0.49999999999999994,-0.8660254037844387
2017-05-15,53,23,45,11,31,0.93,75,5.66553889764798e-16,-1.0,0.49999999999999994,-0.8660254037844387
2017-05-16,55,21,50,12,40,0.96,56,-0.20791169081775907,-0.9781476007338057,0.49999999999999994,-0.8660254037844387
2017-05-17,71,29,79,12,49,1.03,56,-0.4067366430758002,-0.9135454576426009,0.49999999999999994,-0.8660254037844387
2017-05-18,65,24,68,12,46,0.99,63,-0.587785252292473,-0.8090169943749475,0.49999999999999994,-0.8660254037844387
2017-05-19,68,26,73,13,45,1.01,76,-0.743144825477394,-0.6691306063588585,0.49999999999999994,-0.8660254037844387
2017-05-20,72,38,78,14,46,1.19,73,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387
2017-05-20,72,38,78,14,46,1.19,73,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387
2017-05-21,76,40,79,12,40,1.15,88,-0.9510565162951535,-0.30901699437494756,0.49999999999999994,-0.8660254037844387
2017-05-22,52,22,49,11,20,0.94,72,-0.9945218953682733,-0.10452846326765423,0.49999999999999994,-0.8660254037844387
2017-05-23,52,8,36,12,34,0.88,85,-0.9945218953682734,0.10452846326765299,0.49999999999999994,-0.8660254037844387
2017-05-24,55,12,47,12,43,0.92,59,-0.9510565162951536,0.30901699437494723,0.49999999999999994,-0.8660254037844387
2017-05-25,58,15,55,13,50,0.99,59,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387
2017-05-26,67,27,66,13,51,1.03,65,-0.743144825477394,0.6691306063588585,0.49999999999999994,-0.8660254037844387
2017-05-27,75,28,82,14,58,1.07,68,-0.5877852522924734,0.8090169943749473,0.49999999999999994,-0.8660254037844387
2017-05-28,77,29,85,13,56,1.06,74,-0.40673664307580015,0.913545457642601,0.49999999999999994,-0.8660254037844387
2017-05-29,67,29,68,12,46,1.05,69,-0.20791169081775898,0.9781476007338057,0.49999999999999994,-0.8660254037844387
2017-05-30,56,24,61,11,41,1.03,65,-1.133107779529596e-15,1.0,0.49999999999999994,-0.8660254037844387
2017-05-31,67,32,81,11,41,1.09,70,0.2079116908177585,0.9781476007338058,0.49999999999999994,-0.8660254037844387
2017-06-01,72,29,77,11,41,1.0,82,0.20791169081775931,0.9781476007338057,1.2246467991473532e-16,-1.0
2017-06-02,75,35,83,12,50,1.11,79,0.40673664307580015,0.9135454576426009,1.2246467991473532e-16,-1.0
2017-06-03,81,38,89,12,49,1.09,92,0.5877852522924731,0.8090169943749475,1.2246467991473532e-16,-1.0
2017-06-04,68,40,43,10,30,1.26,100,0.7431448254773941,0.6691306063588582,1.2246467991473532e-16,-1.0
2017-06-05,57,18,15,10,29,1.25,103,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2017-06-06,52,21,37,10,26,1.09,79,0.9510565162951535,0.30901699437494745,1.2246467991473532e-16,-1.0
2017-06-07,50,14,39,11,30,1.05,66,0.9945218953682733,0.10452846326765346,1.2246467991473532e-16,-1.0
2017-06-08,52,14,40,12,31,1.05,65,0.9945218953682734,-0.10452846326765333,1.2246467991473532e-16,-1.0
2017-06-09,60,25,67,13,46,1.32,48,0.9510565162951536,-0.30901699437494734,1.2246467991473532e-16,-1.0
2017-06-10,61,21,58,13,39,1.18,82,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
2017-06-11,76,30,78,13,36,1.24,84,0.7431448254773945,-0.6691306063588579,1.2246467991473532e-16,-1.0
2017-06-12,78,37,70,13,40,1.29,94,0.5877852522924732,-0.8090169943749473,1.2246467991473532e-16,-1.0
2017-06-13,77,32,67,12,37,1.14,105,0.40673664307580004,-0.913545457642601,1.2246467991473532e-16,-1.0
2017-06-14,75,44,75,11,33,1.21,99,0.20791169081775931,-0.9781476007338057,1.2246467991473532e-16,-1.0
2017-06-15,74,35,70,10,32,1.15,104,5.66553889764798e-16,-1.0,1.2246467991473532e-16,-1.0
2017-06-16,79,27,66,11,47,1.06,91,-0.20791169081775907,-0.9781476007338057,1.2246467991473532e-16,-1.0
2017-06-17,91,50,103,14,46,1.26,101,-0.4067366430758002,-0.9135454576426009,1.2246467991473532e-16,-1.0
2017-06-18,105,48,132,12,43,1.18,106,-0.587785252292473,-0.8090169943749475,1.2246467991473532e-16,-1.0
2017-06-19,70,26,75,10,37,0.98,87,-0.743144825477394,-0.6691306063588585,1.2246467991473532e-16,-1.0
2017-06-20,70,27,72,11,44,0.91,80,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0
2017-06-21,79,37,98,11,53,1.04,63,-0.9510565162951535,-0.30901699437494756,1.2246467991473532e-16,-1.0
2017-06-22,55,21,46,10,23,0.89,95,-0.9945218953682733,-0.10452846326765423,1.2246467991473532e-16,-1.0
2017-06-23,58,17,57,9,35,0.86,68,-0.9945218953682734,0.10452846326765299,1.2246467991473532e-16,-1.0
2017-06-24,63,18,58,10,38,0.9,75,-0.9510565162951536,0.30901699437494723,1.2246467991473532e-16,-1.0
2017-06-25,69,24,61,10,47,0.99,78,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2017-06-26,75,24,69,10,49,0.99,79,-0.743144825477394,0.6691306063588585,1.2246467991473532e-16,-1.0
2017-06-27,89,35,92,12,52,1.15,90,-0.5877852522924734,0.8090169943749473,1.2246467991473532e-16,-1.0
2017-06-28,89,48,110,11,54,1.25,80,-0.40673664307580015,0.913545457642601,1.2246467991473532e-16,-1.0
2017-06-29,92,45,97,10,50,1.22,91,-0.20791169081775898,0.9781476007338057,1.2246467991473532e-16,-1.0
2017-06-30,91,43,104,10,52,1.18,88,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
2017-07-01,94,43,98,10,49,1.17,91,0.20791169081775931,0.9781476007338057,-0.4999999999999997,-0.8660254037844388
2017-07-02,104,55,103,9,49,1.24,104,0.40673664307580015,0.9135454576426009,-0.4999999999999997,-0.8660254037844388
2017-07-03,101,53,127,9,49,1.2,94,0.5877852522924731,0.8090169943749475,-0.4999999999999997,-0.8660254037844388
2017-07-04,82,37,75,9,39,1.07,109,0.7431448254773941,0.6691306063588582,-0.4999999999999997,-0.8660254037844388
2017-07-05,88,57,111,10,49,1.36,78,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388
2017-07-06,55,16,43,8,28,1.0,88,0.9510565162951535,0.30901699437494745,-0.4999999999999997,-0.8660254037844388
2017-07-07,67,20,65,9,39,0.94,68,0.9945218953682733,0.10452846326765346,-0.4999999999999997,-0.8660254037844388
2017-07-08,75,26,90,9,50,1.07,87,0.9945218953682734,-0.10452846326765333,-0.4999999999999997,-0.8660254037844388
2017-07-09,93,33,114,10,59,1.18,71,0.9510565162951536,-0.30901699437494734,-0.4999999999999997,-0.8660254037844388
2017-07-10,108,37,119,12,52,1.34,104,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388
2017-07-11,100,47,136,14,62,1.38,87,0.7431448254773945,-0.6691306063588579,-0.4999999999999997,-0.8660254037844388
2017-07-12,87,38,110,11,54,1.2,75,0.5877852522924732,-0.8090169943749473,-0.4999999999999997,-0.8660254037844388
2017-07-13,94,46,131,11,56,1.28,65,0.40673664307580004,-0.913545457642601,-0.4999999999999997,-0.8660254037844388
2017-07-14,81,39,95,8,36,1.21,75,0.20791169081775931,-0.9781476007338057,-0.4999999999999997,-0.8660254037844388
2017-07-15,70,37,63,8,30,1.2,92,5.66553889764798e-16,-1.0,-0.4999999999999997,-0.8660254037844388
2017-07-16,77,48,79,8,39,1.35,55,-0.20791169081775907,-0.9781476007338057,-0.4999999999999997,-0.8660254037844388
2017-07-17,82,52,86,8,37,1.42,57,-0.4067366430758002,-0.9135454576426009,-0.4999999999999997,-0.8660254037844388
2017-07-18,65,32,75,9,35,1.27,51,-0.587785252292473,-0.8090169943749475,-0.4999999999999997,-0.8660254037844388
2017-07-19,72,33,81,9,34,1.3,58,-0.743144825477394,-0.6691306063588585,-0.4999999999999997,-0.8660254037844388
2017-07-20,69,31,86,9,37,1.26,54,-0.8660254037844385,-0.5000000000000004,-0.4999999999999997,-0.8660254037844388
2017-07-21,65,30,76,8,39,1.2,60,-0.9510565162951535,-0.30901699437494756,-0.4999999999999997,-0.8660254037844388
2017-07-22,73,40,93,8,44,1.3,44,-0.9945218953682733,-0.10452846326765423,-0.4999999999999997,-0.8660254037844388
2017-07-23,60,32,70,9,29,1.13,53,-0.9945218953682734,0.10452846326765299,-0.4999999999999997,-0.8660254037844388
2017-07-24,54,20,54,8,35,1.06,65,-0.9510565162951536,0.30901699437494723,-0.4999999999999997,-0.8660254037844388
2017-07-25,67,44,72,9,28,1.15,71,-0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388
2017-07-26,70,41,82,8,28,1.16,64,-0.743144825477394,0.6691306063588585,-0.4999999999999997,-0.8660254037844388
2017-07-27,37,14,29,8,29,0.95,46,-0.5877852522924734,0.8090169943749473,-0.4999999999999997,-0.8660254037844388
2017-07-28,37,5,11,8,20,0.84,72,-0.40673664307580015,0.913545457642601,-0.4999999999999997,-0.8660254037844388
2017-07-29,33,8,21,8,21,0.83,65,-0.20791169081775898,0.9781476007338057,-0.4999999999999997,-0.8660254037844388
2017-07-30,48,17,44,8,33,0.93,62,-1.133107779529596e-15,1.0,-0.4999999999999997,-0.8660254037844388
2017-07-31,66,33,71,9,38,1.01,57,0.2079116908177585,0.9781476007338058,-0.4999999999999997,-0.8660254037844388
2017-08-01,85,59,107,9,38,1.32,61,0.20791169081775931,0.9781476007338057,-0.8660254037844385,-0.5000000000000004
2017-08-02,76,40,87,9,35,1.11,68,0.40673664307580015,0.9135454576426009,-0.8660254037844385,-0.5000000000000004
2017-08-03,73,32,83,9,41,1.02,63,0.5877852522924731,0.8090169943749475,-0.8660254037844385,-0.5000000000000004
2017-08-04,74,30,85,9,41,0.97,71,0.7431448254773941,0.6691306063588582,-0.8660254037844385,-0.5000000000000004
2017-08-05,88,45,101,9,45,1.11,74,0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004
2017-08-06,74,35,84,9,40,1.07,68,0.9510565162951535,0.30901699437494745,-0.8660254037844385,-0.5000000000000004
2017-08-07,53,16,57,9,41,0.9,40,0.9945218953682733,0.10452846326765346,-0.8660254037844385,-0.5000000000000004
2017-08-08,49,15,45,10,34,0.91,64,0.9945218953682734,-0.10452846326765333,-0.8660254037844385,-0.5000000000000004
2017-08-09,63,20,63,9,39,0.9,56,0.9510565162951536,-0.30901699437494734,-0.8660254037844385,-0.5000000000000004
2017-08-10,63,19,69,10,39,0.9,58,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
2017-08-11,75,24,86,11,44,1.01,71,0.7431448254773945,-0.6691306063588579,-0.8660254037844385,-0.5000000000000004
2017-08-12,71,27,74,11,45,1.04,65,0.5877852522924732,-0.8090169943749473,-0.8660254037844385,-0.5000000000000004
2017-08-13,58,29,66,10,44,1.09,50,0.40673664307580004,-0.913545457642601,-0.8660254037844385,-0.5000000000000004
2017-08-14,58,23,56,10,38,1.07,56,0.20791169081775931,-0.9781476007338057,-0.8660254037844385,-0.5000000000000004
